Label,No,X,Y,Z,FL,C_wt,Cr_wt,Mn_wt,Fe_wt,Ni_wt,C_at,Cr_at,Mn_at,Fe_at,Ni_at
Z61InconelSteel15?mEND/1_32,194,11907,2198,-35,-500,0.3653,0.1965,1.6641,96.1198,0.7765,1.6905,0.21,1.6839,95.6803,0.7352
Z61InconelSteel15?mEND/1_31,193,11922,2198,-35,-515,0.3544,0.2114,1.7046,95.3552,0.7752,1.6526,0.2277,1.738,95.6421,0.7396
Z61InconelSteel15?mEND/1_30,192,11937,2198,-35,-500,0.3446,0.1787,1.6781,95.483,0.7739,1.6068,0.1925,1.7107,95.7518,0.7382
Z61InconelSteel15?mEND/1_29,191,11952,2198,-35,-485,0.3021,0.1831,1.7016,95.9306,0.9413,1.4024,0.1963,1.7271,95.7802,0.894
Z61InconelSteel15?mEND/1_28,190,11967,2198,-35,-470,0.4173,0.1834,1.7487,95.5892,0.8166,1.9349,0.1964,1.7727,95.3214,0.7746
Z61InconelSteel15?mEND/1_27,189,11982,2198,-35,-455,0.4162,0.2068,1.7834,95.5981,0.7559,1.9295,0.2215,1.8077,95.3242,0.717
Z61InconelSteel15?mEND/1_26,188,11996,2198,-35,-441,0.3079,0.1996,1.6539,95.4885,0.8277,1.4373,0.2153,1.6879,95.869,0.7905
Z61InconelSteel15?mEND/1_25,187,12011,2198,-35,-426,0.363,0.1659,1.6692,95.5247,0.7886,1.6907,0.1785,1.6996,95.68,0.7513
Z61InconelSteel15?mEND/1_24,186,12026,2198,-35,-411,0.3523,0.1982,1.6933,95.7223,0.8066,1.637,0.2128,1.7202,95.6632,0.7668
Z61InconelSteel15?mEND/1_23,185,12041,2198,-35,-396,0.3859,0.1825,1.7954,95.6506,0.7816,1.7903,0.1956,1.8213,95.4508,0.7419
Z61InconelSteel15?mEND/1_22,184,12056,2198,-35,-381,0.3375,0.2017,1.686,95.6978,0.8109,1.5698,0.2167,1.7144,95.7275,0.7716
Z61InconelSteel15?mEND/1_21,183,12071,2198,-35,-366,0.3254,0.191,1.6905,96.1383,0.8108,1.5078,0.2045,1.7126,95.8066,0.7686
Z61InconelSteel15?mEND/1_20,182,12086,2198,-35,-351,0.4364,0.2044,1.7407,95.8868,0.9198,2.0134,0.2178,1.7558,95.1448,0.8682
Z61InconelSteel15?mEND/1_19,181,12101,2198,-35,-336,0.3638,0.2181,1.7376,95.5351,0.8691,1.6905,0.2341,1.7654,95.4837,0.8263
Z61InconelSteel15?mEND/1_18,180,12116,2198,-35,-321,0.2974,0.2045,1.74,95.4326,0.8008,1.3888,0.2206,1.7765,95.849,0.765
Z61InconelSteel15?mEND/1_17,179,12131,2198,-35,-306,0.4835,0.2033,1.8971,95.195,0.8556,2.239,0.2175,1.9207,94.8122,0.8106
Z61InconelSteel15?mEND/1_16,178,12145,2198,-35,-292,0.3155,0.2022,1.6711,96.0869,0.8321,1.4632,0.2166,1.6943,95.8364,0.7895
Z61InconelSteel15?mEND/1_15,177,12160,2198,-35,-277,0.3479,0.1819,1.729,96.3747,0.8191,1.606,0.194,1.7449,95.6816,0.7735
Z61InconelSteel15?mEND/1_14,176,12175,2198,-35,-262,0.2958,0.1891,1.7358,95.8681,0.7854,1.376,0.2031,1.7653,95.9082,0.7474
Z61InconelSteel15?mEND/1_13,175,12190,2198,-35,-247,0.3647,0.1988,1.6704,95.4871,0.7786,1.6985,0.2139,1.7008,95.6449,0.7418
Z61InconelSteel15?mEND/1_12,174,12205,2198,-35,-232,0.2907,0.1914,1.7124,95.9778,0.8917,1.3498,0.2053,1.7386,95.8592,0.8471
Z61InconelSteel15?mEND/1_11,173,12220,2198,-35,-217,0.326,0.2066,1.6444,95.7572,0.8405,1.5165,0.222,1.6721,95.7897,0.7998
Z61InconelSteel15?mEND/1_10,172,12235,2198,-35,-202,0.2818,0.1638,1.6253,95.8056,0.8009,1.3142,0.1765,1.6571,96.0882,0.7641
Z61InconelSteel15?mEND/1_9,171,12250,2198,-35,-187,0.2898,0.204,1.6566,95.3196,0.8579,1.3558,0.2205,1.6944,95.9082,0.8212
Z61InconelSteel15?mEND/1_8,170,12265,2198,-35,-172,0.2455,0.1999,1.6504,95.4773,0.8153,1.1497,0.2163,1.6898,96.163,0.7812
Z61InconelSteel15?mEND/1_7,169,12280,2198,-35,-157,0.3236,0.1676,1.6683,95.8431,0.7949,1.505,0.1801,1.6962,95.8625,0.7563
Z61InconelSteel15?mEND/1_6,168,12294,2198,-35,-143,0.2926,0.1865,1.6567,95.769,0.8399,1.3629,0.2007,1.6873,95.9486,0.8004
Z61InconelSteel15?mEND/1_5,167,12309,2198,-35,-128,0.2574,0.1904,1.6051,95.9112,0.8271,1.2002,0.2051,1.6361,96.1697,0.7889
Z61InconelSteel15?mEND/1_4,166,12324,2198,-35,-113,0.2641,0.1821,1.6015,95.7518,0.8128,1.233,0.1965,1.635,96.1591,0.7764
Z61InconelSteel15?mEND/1_3,165,12339,2198,-35,-98,0.2885,0.2194,1.7018,95.394,0.8285,1.3483,0.2369,1.7389,95.8837,0.7921
Z61InconelSteel15?mEND/1_2,164,12354,2198,-35,-83,0.218,0.1867,1.601,96.1065,0.8201,1.0163,0.2011,1.632,96.3684,0.7823
Z61InconelSteel15?mEND/1_1,163,12369,2198,-35,-68,0.1547,0.2018,1.6544,95.7332,0.8013,0.7256,0.2187,1.6968,96.5898,0.769
Z61InconelSteel4?m/2_57,162,12371,2198,-35,-66,0.2357,0.1761,1.6062,96.0014,0.8497,1.0987,0.1897,1.6373,96.2639,0.8104
Z61InconelSteel4?m/2_56,161,12375,2198,-35,-62,0.2333,0.1669,1.6171,95.8459,0.7628,1.0904,0.1802,1.6525,96.3475,0.7294
Z61InconelSteel4?m/2_55,160,12380,2198,-35,-57,0.2293,0.2211,1.6303,96.2648,0.7903,1.0666,0.2375,1.6577,96.2862,0.752
Z61InconelSteel4?m/2_54,159,12384,2198,-35,-53,0.174,0.1727,1.6072,95.8463,0.726,0.816,0.187,1.6476,96.653,0.6964
Z61InconelSteel4?m/2_53,158,12389,2198,-35,-48,0.219,0.1916,1.6512,95.985,0.7829,1.0219,0.2066,1.6848,96.3394,0.7474
Z61InconelSteel4?m/2_52,157,12393,2198,-35,-44,0.1822,0.1847,1.5781,95.5254,0.7883,0.8562,0.2005,1.6216,96.5636,0.758
Z61InconelSteel4?m/2_51,156,12398,2198,-35,-39,0.1267,0.1898,1.5747,95.8851,0.7627,0.5952,0.2059,1.6168,96.8493,0.7328
Z61InconelSteel4?m/2_50,155,12402,2198,-35,-35,0.203,0.1778,1.5901,95.2848,0.7065,0.9561,0.1934,1.6376,96.5321,0.6808
Z61InconelSteel4?m/2_49,154,12406,2198,-35,-31,0.1631,0.2061,1.5473,95.7852,0.7864,0.7654,0.2234,1.5874,96.6688,0.7549
Z61InconelSteel4?m/2_48,153,12411,2198,-35,-26,0.1618,0.1778,1.5585,96.9693,0.7727,0.7507,0.1905,1.5806,96.7449,0.7333
Z61InconelSteel4?m/2_47,152,12415,2198,-35,-22,0.1934,0.2511,1.6301,96.3235,0.7247,0.9009,0.2702,1.6597,96.4788,0.6904
Z61InconelSteel4?m/2_46,151,12420,2198,-35,-17,0.1325,0.2261,1.5896,96.2312,0.7769,0.6196,0.2443,1.6249,96.7681,0.7432
Z61InconelSteel4?m/2_45,150,12424,2198,-35,-13,0.1947,0.2623,1.5676,96.236,0.7245,0.9081,0.2825,1.5982,96.52,0.6912
Z61InconelSteel4?m/2_44,149,12429,2198,-35,-8,0.1128,0.3423,1.5741,96.004,0.7544,0.5288,0.3706,1.6129,96.7645,0.7233
Z61InconelSteel4?m/2_43,148,12433,2198,-35,-4,0.1012,0.4144,1.5592,96.1896,0.8218,0.4731,0.4475,1.5934,96.7001,0.7859
Z61InconelSteel4?m/2_42,147,12437,2198,-35,0,0.0834,0.6003,1.5273,95.9663,0.8375,0.3901,0.649,1.5627,96.5963,0.8019
Z61InconelSteel4?m/2_41,146,12442,2198,-35,5,0.4099,5.9521,1.4456,79.3926,11.8995,1.8966,6.3624,1.4625,79.0134,11.2651
Z61InconelSteel4?m/2_40,145,12446,2198,-35,9,0.4518,14.4007,0.7905,53.7212,29.3724,2.0999,15.4622,0.8033,53.7036,27.9309
Z61InconelSteel4?m/2_39,144,12451,2198,-35,14,0.5973,16.7754,0.7011,46.9887,33.3373,2.7713,17.9804,0.7112,46.8912,31.6458
Z61InconelSteel4?m/2_38,143,12455,2198,-35,18,0.763,19.4591,0.7006,38.9675,38.4021,3.5245,20.7639,0.7075,38.7132,36.291
Z61InconelSteel4?m/2_37,142,12460,2198,-35,23,0.8158,21.4429,0.6693,33.5788,41.9936,3.7544,22.7965,0.6734,33.2368,39.5389
Z61InconelSteel4?m/2_36,141,12464,2198,-35,27,0.7193,22.2497,0.6293,31.1196,43.7409,3.3244,23.7528,0.6359,30.9311,41.3558
Z61InconelSteel4?m/2_35,140,12468,2198,-35,31,0.6678,23.1023,0.5981,28.879,45.47,3.0846,24.6512,0.604,28.6902,42.97
Z61InconelSteel4?m/2_34,139,12473,2198,-35,36,0.5783,24.3777,0.5803,25.2707,47.8461,2.6825,26.119,0.5885,25.2088,45.4013
Z61InconelSteel4?m/2_33,138,12477,2198,-35,40,0.5025,25.0856,0.5316,23.0721,49.3969,2.3394,26.9757,0.5411,23.0996,47.0442
Z61InconelSteel4?m/2_32,137,12482,2198,-35,45,0.4442,25.7594,0.53,21.4862,50.0486,2.0787,27.8439,0.5422,21.6234,47.9119
Z61InconelSteel4?m/2_31,136,12486,2198,-35,49,0.4508,26.3619,0.5286,20.6131,50.3046,2.1084,28.4818,0.5405,20.735,48.1343
Z61InconelSteel4?m/2_30,135,12491,2198,-35,54,0.324,26.548,0.5141,19.7097,51.0505,1.5247,28.8564,0.5289,19.9463,49.1438
Z61InconelSteel4?m/2_29,134,12495,2198,-35,58,0.2771,26.9241,0.532,19.1414,50.8009,1.3118,29.4446,0.5507,19.4898,49.2031
Z61InconelSteel4?m/2_28,133,12499,2198,-35,62,0.4446,26.8463,0.5137,18.7097,51.0189,2.095,29.2249,0.5292,18.963,49.1879
Z61InconelSteel4?m/2_27,132,12504,2198,-35,67,0.1811,27.136,0.5228,18.6102,51.4814,0.8583,29.7102,0.5418,18.9705,49.9192
Z61InconelSteel4?m/2_26,131,12508,2198,-35,71,0.1816,27.6316,0.5991,18.122,51.3125,0.861,30.2641,0.6211,18.4798,49.774
Z61InconelSteel4?m/2_25,130,12513,2198,-35,76,0.5073,24.9308,0.5607,16.5552,45.6285,2.6304,29.8638,0.6357,18.4635,48.4065
Z61InconelSteel4?m/2_24,129,12517,2198,-35,80,0.1432,27.267,0.5724,18.1651,51.5527,0.6813,29.9642,0.5953,18.5855,50.1736
Z61InconelSteel4?m/2_23,128,12522,2198,-35,85,0.1341,27.4134,0.5758,17.8456,51.5728,0.6389,30.1815,0.6,18.2927,50.2869
Z61InconelSteel4?m/2_22,127,12526,2198,-35,89,0.5826,25.7144,0.5951,15.9604,46.938,2.9591,30.1707,0.6609,17.435,48.7743
Z61InconelSteel4?m/2_21,126,12530,2198,-35,93,0.1417,27.2262,0.58,18.0897,51.7731,0.6736,29.8915,0.6027,18.4911,50.3411
Z61InconelSteel4?m/2_20,125,12535,2198,-35,98,0.0981,27.1902,0.5417,18.6676,52.1311,0.463,29.6586,0.5592,18.9582,50.3609
Z61InconelSteel4?m/2_19,124,12539,2198,-35,102,0.0906,26.7589,0.5191,18.9812,51.8349,0.4301,29.3338,0.5386,19.3729,50.3246
Z61InconelSteel4?m/2_18,123,12544,2198,-35,107,0.0663,26.4182,0.46,19.2447,52.1423,0.3144,28.9554,0.4772,19.6385,50.6144
Z61InconelSteel4?m/2_17,122,12548,2198,-35,111,0.0638,26.3735,0.4405,19.5629,52.504,0.3012,28.7354,0.4542,19.8451,50.6641
Z61InconelSteel4?m/2_16,121,12553,2198,-35,116,0.0771,26.2424,0.4277,19.4375,52.1105,0.3657,28.7654,0.4437,19.837,50.5882
Z61InconelSteel4?m/2_15,120,12557,2198,-35,120,0.0658,26.3136,0.405,19.4518,52.2012,0.3121,28.8135,0.4197,19.831,50.6237
Z61InconelSteel4?m/2_14,119,12561,2198,-35,124,0.0628,26.4106,0.4004,19.2646,52.3715,0.2974,28.902,0.4147,19.6282,50.7578
Z61InconelSteel4?m/2_13,118,12566,2198,-35,129,0.0539,26.094,0.3971,19.5161,52.2227,0.2561,28.6356,0.4124,19.9403,50.7556
Z61InconelSteel4?m/2_12,117,12570,2198,-35,133,0.063,26.8725,0.4543,19.0985,52.0556,0.2981,29.3819,0.4701,19.442,50.4078
Z61InconelSteel4?m/2_11,116,12575,2198,-35,138,0.0526,27.073,0.46,18.7373,52.1673,0.2493,29.6259,0.4764,19.0902,50.5582
Z61InconelSteel4?m/2_10,115,12579,2198,-35,142,0.0623,26.9721,0.4818,18.5906,52.1026,0.296,29.5906,0.5003,18.989,50.624
Z61InconelSteel4?m/2_9,114,12584,2198,-35,147,0.1109,27.637,0.5489,17.6825,51.591,0.5289,30.4403,0.5722,18.133,50.3257
Z61InconelSteel4?m/2_8,113,12588,2198,-35,151,0.0701,26.6133,0.4692,18.949,52.3875,0.3322,29.1174,0.4858,19.3024,50.7622
Z61InconelSteel4?m/2_7,112,12592,2198,-35,155,0.0614,26.3774,0.417,19.1815,52.3248,0.2911,28.9107,0.4326,19.574,50.7916
Z61InconelSteel4?m/2_6,111,12597,2198,-35,160,0.0344,26.2608,0.4064,19.4949,52.5324,0.1629,28.7098,0.4205,19.8433,50.8636
Z61InconelSteel4?m/2_5,110,12601,2198,-35,164,0.0326,26.3941,0.4113,19.0657,52.492,0.1548,28.9521,0.427,19.4714,50.9948
Z61InconelSteel4?m/2_4,109,12606,2198,-35,169,0.0359,26.6684,0.4575,19.0382,52.2061,0.1702,29.2359,0.4747,19.432,50.6873
Z61InconelSteel4?m/2_3,108,12610,2198,-35,173,0.0341,26.4573,0.4464,19.1399,52.1174,0.1624,29.0724,0.4643,19.5814,50.7195
Z61InconelSteel4?m/2_2,107,12615,2198,-35,178,0.0637,26.9658,0.5344,18.5786,51.8263,0.3032,29.6509,0.5562,19.0199,50.4699
Z61InconelSteel4?m/2_1,106,12619,2198,-35,182,0,26.627,0.5026,19.3384,51.4146,0,29.3758,0.5248,19.8636,50.2357
Z61InconelSteel15?m/1_8,105,12621,2198,-35,184,0.021,26.8702,0.5097,19.5608,51.2476,0.0998,29.5139,0.5299,20.0039,49.8526
Z61InconelSteel15?m/1_7,104,12635,2198,-35,198,0.0136,25.9884,0.4366,20.7565,51.4134,0.0647,28.4587,0.4525,21.1622,49.862
Z61InconelSteel15?m/1_6,103,12650,2198,-35,213,0.006,26.4197,0.4953,19.5192,51.4232,0.0288,29.1511,0.5172,20.0521,50.2509
Z61InconelSteel15?m/1_5,102,12664,2198,-35,227,0.018,26.0803,0.4694,19.7593,51.719,0.086,28.7216,0.4892,20.2599,50.4433
Z61InconelSteel15?m/1_4,101,12678,2198,-35,241,0.0109,26.1955,0.4466,19.8949,51.5279,0.052,28.8422,0.4654,20.3944,50.246
Z61InconelSteel15?m/1_3,100,12692,2198,-35,255,0.0283,27.3603,0.5246,18.1756,52.0119,0.1346,30.0777,0.5458,18.603,50.6389
Z61InconelSteel15?m/1_2,99,12707,2198,-35,270,0.0516,27.3996,0.5128,18.215,52.0351,0.2452,30.0593,0.5325,18.6052,50.5579
Z61InconelSteel15?m/1_1,98,12721,2198,-35,284,0.0195,26.9015,0.5074,18.7613,51.9876,0.0929,29.5698,0.5279,19.2002,50.6092
